agent,task_type,n_prs,n_merged,n_unmerged,merge_rate,mean_resolution_merged,mean_resolution_unmerged,correlation_coefficient,effect_size_category,abs_correlation
Claude_Code,chore,13,11,2,0.8461538461538461,3.5724579124579123,0.7588425925925927,0.05698028822981897,negligible,0.05698028822981897
Claude_Code,ci,5,4,1,0.8,0.010677083333333275,0.0033912037037037036,0.7071067811865475,large,0.7071067811865475
Claude_Code,docs,34,26,8,0.7647058823529411,1.311357282763533,9.420894097222224,-0.28979107122450204,small,0.28979107122450204
Claude_Code,feat,225,164,61,0.7288888888888889,1.8159418049909666,3.671991879174256,0.04086899585315635,negligible,0.04086899585315635
Claude_Code,fix,96,71,25,0.7395833333333334,2.7228654799165364,2.7083777777777778,-0.16145744463422942,small,0.16145744463422942
Claude_Code,perf,3,2,1,0.6666666666666666,0.2376331018518518,0.877175925925926,-0.8660254037844387,large,0.8660254037844387
Claude_Code,refactor,24,14,10,0.5833333333333334,1.7423123346560843,2.943773148148148,-0.10988418522012473,small,0.10988418522012473
Claude_Code,test,6,4,2,0.6666666666666666,0.2512268518518518,2.8089062499999997,-0.6210590034081188,large,0.6210590034081188
Copilot,build,121,70,51,0.5785123966942148,2.819019841269841,1.4516153776325345,0.3852514055288547,moderate,0.3852514055288547
Copilot,chore,137,74,63,0.5401459854014599,2.8140603103103103,1.7662248309817759,0.21479566465193806,small,0.21479566465193806
Copilot,ci,92,62,30,0.6739130434782609,1.2513920624253285,3.261539737654321,0.00698514385981837,negligible,0.00698514385981837
Copilot,docs,482,354,128,0.7344398340248963,3.466189677495292,3.494861744068287,0.19903161275228953,small,0.19903161275228953
Copilot,feat,1531,884,647,0.5774003919007185,3.0866865154181333,5.459606374148491,0.06621077545672094,negligible,0.06621077545672094
Copilot,fix,1914,1138,776,0.5945663531870429,3.154239202955152,4.503674246491982,0.04140232227201416,negligible,0.04140232227201416
Copilot,perf,34,12,22,0.35294117647058826,2.1075646219135797,1.765354587542088,0.18192637473571158,small,0.18192637473571158
Copilot,refactor,282,176,106,0.624113475177305,3.3796726378367,2.923639718728163,0.09407348744828312,negligible,0.09407348744828312
Copilot,style,15,7,8,0.4666666666666667,0.9748528439153439,0.23827835648148146,0.49487165930539345,moderate,0.49487165930539345
Copilot,test,164,92,72,0.5609756097560976,2.367124723228663,9.070618248456789,0.005969300043457314,negligible,0.005969300043457314
Cursor,build,43,35,8,0.813953488372093,0.1567113095238095,4.87363136574074,-0.22152281195220813,small,0.22152281195220813
Cursor,chore,53,44,9,0.8301886792452831,0.9244781144781143,6.79752700617284,-0.223384682929209,small,0.223384682929209
Cursor,ci,20,19,1,0.95,0.8521119639376217,2.3501041666666667,-0.2586072710063133,small,0.2586072710063133
Cursor,docs,222,185,37,0.8333333333333334,0.4524341216216216,1.6527449324324326,-0.21359843401747275,small,0.21359843401747275
Cursor,feat,713,553,160,0.7755960729312763,0.7819529209363071,3.0535696614583334,-0.13325733548601162,small,0.13325733548601162
Cursor,fix,454,366,88,0.8061674008810573,0.7747980861667678,1.4772457649410773,-0.13288487449769268,small,0.13288487449769268
Cursor,other,9,4,5,0.4444444444444444,0.05110532407407405,0.0348148148148148,-0.1732050807568877,small,0.1732050807568877
Cursor,perf,26,14,12,0.5384615384615384,0.22979993386243378,1.6377527006172838,-0.1645902399595647,small,0.1645902399595647
Cursor,refactor,121,94,27,0.7768595041322314,1.0956437155240346,2.4395657578875176,-0.1295720498049633,small,0.1295720498049633
Cursor,style,19,16,3,0.8421052631578947,0.29137659143518513,1.1567206790123457,-0.21081851067789195,small,0.21081851067789195
Cursor,test,45,31,14,0.6888888888888889,1.3106481481481478,4.3164236111111105,-0.30123984690905864,moderate,0.30123984690905864
Devin,build,125,91,34,0.728,0.6217120726495727,3.4424421296296295,-0.20826356750048364,small,0.20826356750048364
Devin,chore,395,259,136,0.6556962025316456,0.6290177677677677,5.25076550585512,-0.34826262830611604,moderate,0.34826262830611604
Devin,ci,95,62,33,0.6526315789473685,1.7353162335722823,2.8858641975308643,-0.11407650961848885,small,0.11407650961848885
Devin,docs,987,780,207,0.790273556231003,2.2541774839743596,3.0256870079620684,-0.10203286158502929,small,0.10203286158502929
Devin,feat,3171,2099,1072,0.6619362976978871,1.4720255953011134,3.729161656992814,-0.14253942614050288,small,0.14253942614050288
Devin,fix,1774,992,782,0.5591882750845547,0.9423003938918757,3.7819928868286445,-0.3030203621715305,moderate,0.3030203621715305
Devin,perf,88,36,52,0.4090909090909091,1.5105095807613163,2.6066989405270657,-0.08461900841582405,negligible,0.08461900841582405
Devin,refactor,718,486,232,0.6768802228412256,0.8264400434385003,2.9673631565293737,-0.11498220170778384,small,0.11498220170778384
Devin,revert,7,5,2,0.7142857142857143,0.5381064814814815,4.082731481481481,-0.3162277660168379,moderate,0.3162277660168379
Devin,style,59,46,13,0.7796610169491526,0.23569519927536223,0.6554522792022793,-0.29296557094385783,small,0.29296557094385783
Devin,test,164,103,61,0.6280487804878049,1.1987894417475726,3.6251250379477833,-0.21385422602203466,small,0.21385422602203466
OpenAI_Codex,build,1561,1325,236,0.848814862267777,0.23777277253668758,0.7470849517419963,-0.013514031781325516,negligible,0.013514031781325516
OpenAI_Codex,chore,1496,1254,242,0.8382352941176471,0.5646081520615511,0.567646732476278,-0.030150990564730116,negligible,0.030150990564730116
OpenAI_Codex,ci,1103,970,133,0.8794197642792384,0.43125424780450544,0.2564620753272069,-0.034822592334116345,negligible,0.034822592334116345
OpenAI_Codex,docs,13422,12608,814,0.9393533005513336,0.41289484226652085,0.4971431374556375,0.010772793155361466,negligible,0.010772793155361466
OpenAI_Codex,feat,34729,28658,6071,0.8251893230441418,0.4703820660089742,0.7181469833055752,-0.0210405010545012,negligible,0.0210405010545012
OpenAI_Codex,fix,23486,20887,2599,0.8893383292174061,0.47900302598284594,0.6119404008664301,-0.01022676550291207,negligible,0.01022676550291207
OpenAI_Codex,perf,941,701,240,0.7449521785334751,0.3847120845881545,0.5167666859567901,-0.0474730959070919,negligible,0.0474730959070919
OpenAI_Codex,refactor,6263,5392,871,0.8609292671243813,0.47983123574706005,0.7850635444572012,0.002226581013274498,negligible,0.002226581013274498
OpenAI_Codex,revert,28,27,1,0.9642857142857143,0.5916816700960218,8.101851851851852e-05,0.3216337604513384,moderate,0.3216337604513384
OpenAI_Codex,style,522,426,96,0.8160919540229885,0.3398671426708398,0.4201406973379629,-0.06891970369054584,negligible,0.06891970369054584
OpenAI_Codex,test,7848,7019,829,0.8943679918450561,0.46040177158031376,0.689238791716928,-0.014716240212797535,negligible,0.014716240212797535
